Dataset,File,100KB Upload Median,100KB Upload Average,100KB Upload Std Dev,1MB Upload Median,1MB Upload Average,1MB Upload Std Dev,10MB Upload Median,10MB Upload Average,10MB Upload Std Dev,100MB Upload Median,100MB Upload Average,100MB Upload Std Dev
Buddy,uploadBuddy3.json,237.0,253.37,81.63095675048774,273.5,262.77,90.31133428313414,280.0,290.36,74.03425153265209,890.5,887.19,85.63687231560947
Buddy,uploadBuddy6.json,261.0,262.37,77.700663446331,255.5,258.3,87.59412080727792,310.0,317.59,84.29544412362984,911.5,920.78,93.94611008445214
Buddy,uploadBuddy12.json,250.5,258.5,84.35051867060452,281.5,288.59,84.00620155678983,299.5,307.07,89.60181415574128,971.0,979.16,126.61403713648814
Buddy,uploadBuddy24.json,248.0,254.08,84.92534132989987,267.0,270.06,81.44750702139385,306.5,304.35,81.51998221295193,976.0,986.9,120.35160987705981
Minset,uploadMinset3.json,18.0,18.7,4.748684028233506,22.0,22.61,4.337960350210684,66.5,67.23,10.289659858323793,442.0,450.87,73.02200421790681
Minset,uploadMinset6.json,19.0,19.74,6.258785824742687,25.0,25.27,6.097302682334215,65.0,69.49,32.66205596713103,403.5,425.78,63.93208584114865
Minset,uploadMinset12.json,18.5,19.66,5.3669730761389145,22.5,23.8,5.6000000000000005,74.0,73.42,15.116335534778262,442.5,442.63,48.943570568563956
Minset,uploadMinset24.json,19.0,18.81,2.9688213149329146,22.5,23.32,3.898409932267257,58.0,60.01,10.698126004118665,397.0,416.59,60.294791649030515
Random,uploadRandom3.json,17.0,17.53,3.2138917218848553,21.0,22.5,4.990991885387112,71.0,69.94,8.759931506581545,435.5,454.89,64.815876912991
Random,uploadRandom6.json,19.0,19.09,4.523483171185674,22.0,22.46,2.8475252413279852,59.5,61.03,10.80412421254032,419.5,432.21,55.61965390039747
Random,uploadRandom12.json,19.0,20.12,3.9377150734912245,24.0,26.67,10.042962710276287,66.0,70.5,16.139082997494004,490.0,544.89,154.49717764412398
Random,uploadRandom24.json,19.0,19.17,2.778686740170615,24.0,24.22,4.453268462601373,66.0,66.86,7.274640884607295,351.5,377.44,56.69485338194287
